name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score
Commercial on Oak Lawn Avenue,commercial,"Dallas County, Texas",Oak Lawn Avenue,32.794764161830805,-96.82035306,38437.762480402605,24984.55,2321.064695,745526.0,745.53,2042.5,56.7,10344,89725,19,139,0.1588
Albertsons,retail,"Dallas County, Texas",Broadway Boulevard,32.846095100641016,-96.59393177,63262.89451863996,41120.88,3820.129752,1227026.0,1227.03,3361.7,93.3,5148,33073,1,4,0.0843
Office on Royal Ridge Parkway,office,"Dallas County, Texas",Royal Ridge Parkway,32.91784166097682,-96.99605681,45695.14371803396,29701.84,2759.300936,886287.0,886.29,2428.2,67.4,1611,21789,6,29,0.0295
Commercial on Bent Branch Drive,commercial,"Dallas County, Texas",Bent Branch Drive,32.918648295704365,-96.99074169,253381.67964566665,164698.09,15300.452560999998,4914505.0,4914.5,13464.4,373.7,1771,25885,6,25,0.0568
Office on North Belt Line Road,office,"Dallas County, Texas",North Belt Line Road,32.91809326152548,-96.99295032,68408.48429811382,44465.51,4130.845879,1326828.0,1326.83,3635.1,100.9,1732,24436,5,25,0.034
Office on Royal Crossing,office,"Dallas County, Texas",Royal Crossing,32.919583552197864,-96.99776515,81388.25728964609,52902.37,4914.6301730000005,1578579.0,1578.58,4324.9,120.0,1474,20400,7,28,0.0317
Office on North Belt Line Road,office,"Dallas County, Texas",North Belt Line Road,32.917342196332456,-96.99453548,46251.11207182682,30063.22,2792.873138,897071.0,897.07,2457.7,68.2,1693,23079,6,29,0.0308
Retail on Regent Boulevard,retail,"Dallas County, Texas",Regent Boulevard,32.921315461887296,-96.99604625,30459.16033736208,19798.45,1839.276005,590775.0,590.78,1618.6,44.9,1478,22109,7,28,0.0257
Office on Royal Ridge Parkway,office,"Dallas County, Texas",Royal Ridge Parkway,32.91707233955161,-96.99599582,23035.239223412133,14972.91,1390.983339,446784.0,446.78,1224.1,34.0,1626,21748,6,30,0.027
Retail on West Pleasant Run Road,retail,"Dallas County, Texas",West Pleasant Run Road,32.60318958298591,-96.82005182,39281.474517283634,25532.96,2372.0119839999998,761890.0,761.89,2087.4,57.9,3607,24733,1,4,0.0585
Sam's Club,retail,"Dallas County, Texas",South Buckner Boulevard,32.79382955,-96.68705401,143932.80413299502,93556.32,8691.382128000001,2791672.0,2791.67,7648.4,212.3,5760,44824,2,3,0.1031
Museum of Biblical Art,commercial,"Dallas County, Texas",Park Lane,32.87050536867382,-96.7771655,34280.126376014814,22282.08,2070.005232,664886.0,664.89,1821.6,50.6,8702,66375,4,14,0.1338
Retail on Snider Plaza,retail,"Dallas County, Texas",Snider Plaza,32.84891078319877,-96.78753929,22583.752647174617,14679.44,1363.719976,438027.0,438.03,1200.1,33.3,6414,85987,1,28,0.0983
Commercial on Snider Plaza,commercial,"Dallas County, Texas",Snider Plaza,32.84891266166593,-96.78823905,23452.319761423496,15244.01,1416.168529,454873.0,454.87,1246.2,34.6,6161,86052,1,29,0.0946
Commercial on Boll Street,commercial,"Dallas County, Texas",Boll Street,32.79862197035855,-96.80244733,38436.24256896314,24983.56,2320.972724,745496.0,745.5,2042.5,56.7,25990,96607,66,131,0.392
CoreSpace Dallas,commercial,"Dallas County, Texas",John W Carpenter Freeway,32.81755909168842,-96.87306493,31618.645817061886,20552.12,1909.2919479999998,613265.0,613.26,1680.2,46.6,917,23228,10,42,0.0175
Retail on Coit Road,retail,"Dallas County, Texas",Coit Road,32.98137146,-96.76996411,31757.745366810635,20642.53,1917.6910369999998,615962.0,615.96,1687.6,46.8,6962,54000,1,23,0.1076
Lennox,office,"Dallas County, Texas",Lake Park Boulevard,32.98051259495122,-96.76043218,46901.36750728891,30485.89,2832.139181,909683.0,909.68,2492.3,69.2,6064,52018,8,28,0.096
Retail on East Mockingbird Lane,retail,"Dallas County, Texas",East Mockingbird Lane,32.83778193448419,-96.7510632,141394.89640550563,91906.68,8538.130571999998,2742448.0,2742.45,7513.6,208.5,5804,74960,1,12,0.1035
Commercial on East Mockingbird Lane,commercial,"Dallas County, Texas",East Mockingbird Lane,32.83696122178645,-96.75165328,42173.37089663445,27412.69,2546.638901,817980.0,817.98,2241.0,62.2,5834,75682,1,11,0.092
Commercial on East Mockingbird Lane,commercial,"Dallas County, Texas",East Mockingbird Lane,32.83583890496734,-96.75413114,39584.99407124491,25730.25,2390.340225,767777.0,767.78,2103.5,58.4,6514,77740,1,14,0.1018
Lute Riley Honda,commercial,"Dallas County, Texas",North Central Expressway,32.96626292047502,-96.72376581,36453.272941345815,23694.63,2201.231127,707035.0,707.04,1937.1,53.8,4045,48366,3,38,0.0647
Commercial on North Denton Tap Road,commercial,"Dallas County, Texas",North Denton Tap Road,32.98871684956863,-96.99265884,20980.88424,13637.57,1266.930253,406938.0,406.94,1114.9,30.9,5356,36750,1,17,0.0823
Lowe's,retail,"Dallas County, Texas",North Galloway Avenue,32.82588212247576,-96.62119603,168700.6348309022,109655.41,10186.987589,3272060.0,3272.06,8964.5,248.8,5328,44480,2,6,0.0996
Commercial on West Campbell Road,commercial,"Dallas County, Texas",West Campbell Road,32.974835288698586,-96.72025198,21961.6068837858,14275.04,1326.151216,425960.0,425.96,1167.0,32.4,4145,44484,10,39,0.0644
Retail on Shady Brook Lane,retail,"Dallas County, Texas",Shady Brook Lane,32.87076045042527,-96.7631909,43279.34974037137,28131.58,2613.423782,839432.0,839.43,2299.8,63.8,15133,69915,5,13,0.2307
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.98451343267456,-96.71320284,20138.612714798204,13090.1,1216.0702899999999,390602.0,390.6,1070.1,29.7,5007,43288,10,47,0.077
Commercial on North Collins Boulevard,commercial,"Dallas County, Texas",North Collins Boulevard,32.98217184407565,-96.71621192,49198.5618324296,31979.07,2970.855603,954239.0,954.24,2614.4,72.6,4820,43469,11,47,0.0777
Waste Management,commercial,"Dallas County, Texas",North Business 45,32.55175951403017,-96.66745763,24840.718502984902,16146.47,1500.0070629999998,481802.0,481.8,1320.0,36.6,170,1840,0,2,0.0055
Commercial on Golfing Green Drive,commercial,"Dallas County, Texas",Golfing Green Drive,32.93331007006475,-96.86258334,64776.64811847171,42104.82,3911.537778,1256386.0,1256.39,3442.2,95.5,6207,50250,4,45,0.1003
Bank of America Building,commercial,"Dallas County, Texas",South State Highway 161,32.74046705511528,-97.01873084,21130.95393885852,13735.12,1275.992648,409849.0,409.85,1122.9,31.2,4254,30884,5,14,0.0659
Target,retail,"Dallas County, Texas",West Interstate 20,32.67834759810049,-97.01006307,122437.39362070274,79584.31,7393.382398999999,2374754.0,2374.75,6506.2,180.6,3678,32691,4,18,0.0695
The Home Depot,retail,"Dallas County, Texas",South Carrier Parkway,32.67878895339449,-97.00882458,118147.14263907532,76795.64,7134.314955999999,2291542.0,2291.54,6278.2,174.2,3629,32511,4,17,0.0683
El Rio Grande Supermarket,retail,"Dallas County, Texas",South Center Street,32.74383747347588,-97.00386514,33746.65204237616,21935.32,2037.7912279999998,654539.0,654.54,1793.3,49.8,3896,27060,4,11,0.0621
Retail on South Carrier Parkway,retail,"Dallas County, Texas",South Carrier Parkway,32.74030006989876,-97.01692559,48066.40901776336,31243.17,2902.490493,932280.0,932.28,2554.2,70.9,4257,30694,5,12,0.0692
Retail on Conover Drive,retail,"Dallas County, Texas",Conover Drive,32.73914308936122,-97.01698455,45444.04742815518,29538.63,2744.138727,881417.0,881.42,2414.8,67.0,4173,31162,5,12,0.0676
Army Navy Warehouse,retail,"Dallas County, Texas",East Main Street,32.74608394966341,-97.0009399,20390.54872818294,13253.86,1231.283594,395488.0,395.49,1083.5,30.1,3641,25447,4,10,0.0567
Retail on Crossland Boulevard,retail,"Dallas County, Texas",Crossland Boulevard,32.680167250000004,-97.0076945,20404.370008073725,13262.84,1232.117836,395756.0,395.76,1084.3,30.1,3614,32491,3,17,0.0563
Grand Prairie PREMIERE LUX Ciné 10 & Pizza Pub,retail,"Dallas County, Texas",East Westchester Parkway,32.67272034887958,-97.00382525,40473.293278452606,26307.64,2443.9797559999997,785006.0,785.01,2150.7,59.7,3289,29806,3,17,0.0539
Wingfoot Dallas,warehouse,"Dallas County, Texas",Irving Boulevard,32.8070878,-96.86660656,57427.77729940779,37328.06,3467.7767739999995,1113850.0,1113.85,3051.6,84.7,1135,27089,4,51,0.0238
Commercial on Peterbilt Avenue,commercial,"Dallas County, Texas",Peterbilt Avenue,32.64298318161006,-96.78427465,22157.01682184041,14402.06,1337.951374,429750.0,429.75,1177.4,32.7,1247,19974,0,4,0.0212
Retail on Wycliff Avenue,retail,"Dallas County, Texas",Wycliff Avenue,32.81047815302538,-96.81974094,20861.618148599147,13560.05,1259.728645,404625.0,404.62,1108.6,30.8,15891,88222,14,144,0.2394
Office on Douglas Avenue,office,"Dallas County, Texas",Douglas Avenue,32.864485238742944,-96.80893653,22583.18591,14679.07,1363.685603,438016.0,438.02,1200.0,33.3,4248,56195,1,25,0.066
Industrial on Celestial Road,industrial,"Dallas County, Texas",Celestial Road,32.94632126688855,-96.81288082,35142.18576983912,22842.42,2122.060818,681606.0,681.61,1867.4,51.8,17258,63406,14,43,0.2614
Retail on East FM 1382,retail,"Dallas County, Texas",East FM 1382,32.59925550286619,-96.94013977,79632.76052,51761.29,4808.623841,1544530.0,1544.53,4231.6,117.4,2322,20163,3,3,0.0442
Kroger,retail,"Dallas County, Texas",North Highway 67,32.598480399506926,-96.93950304,70656.74202479766,45926.88,4266.607152,1370434.0,1370.43,3754.6,104.2,2388,20128,3,3,0.0441
Retail on West FM 1382,retail,"Dallas County, Texas",West FM 1382,32.599790100923734,-96.94148998,29927.17402687181,19452.66,1807.152114,580457.0,580.46,1590.3,44.1,2208,19994,3,3,0.0365
Commercial on West FM 1382,commercial,"Dallas County, Texas",West FM 1382,32.60165888,-96.94263039,115677.37618886124,75190.29,6985.177940999999,2243639.0,2243.64,6147.0,170.6,2092,20143,3,3,0.045
Retail on West Pleasant Run Road,retail,"Dallas County, Texas",West Pleasant Run Road,32.60233758960117,-96.9436332,20384.667591525675,13250.03,1230.927787,395374.0,395.37,1083.2,30.1,2012,20072,3,3,0.0324
Commercial on West Pleasant Run Road,commercial,"Dallas County, Texas",West Pleasant Run Road,32.60265450753166,-96.94279192,34271.19825203814,22276.28,2069.4664119999998,664713.0,664.71,1821.1,50.5,2073,20315,3,3,0.035
Commercial on West Pleasant Run Road,commercial,"Dallas County, Texas",West Pleasant Run Road,32.602177097009545,-96.94148805,35127.66842199469,22832.98,2121.183842,681324.0,681.32,1866.6,51.8,2172,20496,3,3,0.0366
Commercial on East Pleasant Run Road,commercial,"Dallas County, Texas",East Pleasant Run Road,32.602124673345024,-96.94046433,32156.479805477207,20901.71,1941.7688589999998,623696.0,623.7,1708.8,47.4,2247,20709,3,3,0.0373
Commercial on East Pleasant Run Road,commercial,"Dallas County, Texas",East Pleasant Run Road,32.60282945456409,-96.94111917,29452.459840551724,19144.1,1778.48689,571250.0,571.25,1565.1,43.4,2194,20712,3,3,0.0362
Commercial on West Pleasant Run Road,commercial,"Dallas County, Texas",West Pleasant Run Road,32.603378579874764,-96.94242695,44165.82438797016,28707.79,2666.953691,856626.0,856.63,2346.9,65.1,2099,20542,3,3,0.0366
Commercial on West Pleasant Run Road,commercial,"Dallas County, Texas",West Pleasant Run Road,32.603213456634215,-96.94354286,31349.55575640307,20377.21,1893.0428089999998,608045.0,608.04,1665.9,46.2,2019,20271,3,3,0.0339
Commercial on West Wheatland Road,commercial,"Dallas County, Texas",West Wheatland Road,32.64955241046904,-96.87247731,223536.8197043409,145298.93,13498.270596999999,4335645.0,4335.65,11878.5,329.7,5379,33074,3,9,0.107
Retail on Kirnwood Drive,retail,"Dallas County, Texas",Kirnwood Drive,32.64821662062256,-96.87016647,28490.492373187084,18518.82,1720.3983779999999,552592.0,552.59,1514.0,42.0,4985,32833,2,9,0.0777
The Home Depot,commercial,"Dallas County, Texas",West Wheatland Road,32.64838798534337,-96.86903658,110725.52210246124,71971.59,6686.1607109999995,2147595.0,2147.59,5883.8,163.3,4834,32815,2,9,0.0853
Commercial on Southwest 5th Street,commercial,"Dallas County, Texas",Southwest 5th Street,32.743163411260895,-97.00932737,24969.038139767355,16229.87,1507.754923,484291.0,484.29,1326.8,36.8,4274,28531,3,10,0.0667
Retail on Gaston Avenue,retail,"Dallas County, Texas",Gaston Avenue,32.81313622284153,-96.72998376,63672.82928531589,41387.34,3844.8838859999996,1234977.0,1234.98,3383.5,93.9,4346,55109,1,8,0.0724
Commercial on Gaston Avenue,commercial,"Dallas County, Texas",Gaston Avenue,32.81227516031393,-96.72977812,21843.31684,14198.16,1319.0090639999999,423666.0,423.67,1160.7,32.2,4472,54759,1,8,0.0693
The Home Depot,retail,"Dallas County, Texas",East FM 1382,32.59405850349146,-96.93599417,114131.0160815126,74185.16,6891.801364,2213647.0,2213.65,6064.8,168.3,2721,19955,3,3,0.0542
Retail on East FM 1382,retail,"Dallas County, Texas",East FM 1382,32.59312918198524,-96.93522545,63544.44083000222,41303.89,3837.1313809999997,1232487.0,1232.49,3376.7,93.7,2786,19934,3,3,0.0491
Total Wine,retail,"Dallas County, Texas",East FM 1382,32.59091116190356,-96.93819529,35284.21777,22934.74,2130.637346,684361.0,684.36,1875.0,52.0,2724,19014,3,3,0.0448
Habitat for Humanity ReStore,retail,"Dallas County, Texas",North Hampton Road,32.77737787449663,-96.85559888,137343.91465328715,89273.54,8293.511865999999,2663876.0,2663.88,7298.3,202.5,4527,40002,3,65,0.0839
Macy's,retail,"Dallas County, Texas",Cedar Sage Drive,32.952044700000016,-96.60926945,69868.11602,45414.28,4218.986612,1355138.0,1355.14,3712.7,103.0,3172,32677,0,6,0.0557
Dillard's,retail,"Dallas County, Texas",Horseshoe Drive,32.954782291858336,-96.61483901,99988.3669,64992.44,6037.797676,1939341.0,1939.34,5313.3,147.5,3209,34084,0,8,0.0598
Retail on North Highway 67,retail,"Dallas County, Texas",North Highway 67,32.601059800048496,-96.9371558,23294.34956503496,15141.33,1406.629557,451809.0,451.81,1237.8,34.4,2499,21207,2,3,0.04
Commercial on North Highway 67,commercial,"Dallas County, Texas",North Highway 67,32.60590397511977,-96.9312216,30664.10869817764,19931.67,1851.6521429999998,594751.0,594.75,1629.5,45.2,2756,23628,1,3,0.0448
Commercial on Antoine Street,commercial,"Dallas County, Texas",Antoine Street,32.60593912038253,-96.93220005,20187.34714714488,13121.78,1219.013362,391547.0,391.55,1072.7,29.8,2708,23391,1,3,0.0428
Commercial on East Pleasant Run Road,commercial,"Dallas County, Texas",East Pleasant Run Road,32.603828067845896,-96.93458734,22495.382411311683,14622.0,1358.3837999999998,436313.0,436.31,1195.4,33.2,2610,22386,1,3,0.0416
Retail on North Highway 67,retail,"Dallas County, Texas",North Highway 67,32.59259240653191,-96.94077068,116144.04904757044,75493.63,7013.358227,2252691.0,2252.69,6171.8,171.3,2486,18762,3,3,0.051
Retail on North Highway 67,retail,"Dallas County, Texas",North Highway 67,32.59606802762163,-96.93613574,135502.32933415176,88076.51,8182.307778999999,2628157.0,2628.16,7200.4,199.8,2661,20315,3,3,0.0559
Commercial on West FM 1382,commercial,"Dallas County, Texas",West FM 1382,32.59926120232301,-96.94404433,28361.955613437647,18435.27,1712.636583,550099.0,550.1,1507.1,41.8,2014,19372,3,3,0.0334
Commercial on Cedar Hill Village Drive,commercial,"Dallas County, Texas",Cedar Hill Village Drive,32.591991051253785,-96.94651888,43331.97572275151,28165.78,2616.600962,840452.0,840.45,2302.6,63.9,2032,17691,3,3,0.0355
Commercial on South Central Expressway,commercial,"Dallas County, Texas",South Central Expressway,32.70108702070564,-96.74926318,27606.182349258743,17944.02,1666.999458,535440.0,535.44,1467.0,40.7,1362,19050,0,1,0.0236
Warehouse on La Reunion Parkway,warehouse,"Dallas County, Texas",La Reunion Parkway,32.77054537368456,-96.8925722,64669.95160710737,42035.47,3905.095163,1254317.0,1254.32,3436.5,95.4,1592,26364,2,15,0.0315
Warehouse on Terre Colony Court,warehouse,"Dallas County, Texas",Terre Colony Court,32.77266874482653,-96.86636057,78867.26259559549,51263.72,4762.399588,1529683.0,1529.68,4190.9,116.3,3765,34356,10,25,0.0656
Warehouse on La Reunion Parkway,warehouse,"Dallas County, Texas",La Reunion Parkway,32.77042622,-96.8938677,61355.27014216191,39880.93,3704.938397,1190026.0,1190.03,3260.3,90.5,1611,25851,2,14,0.0314
Warehouse on Terre Colony Court,warehouse,"Dallas County, Texas",Terre Colony Court,32.77229114652785,-96.86713875,138594.99653947272,90086.75,8369.059075,2688142.0,2688.14,7364.8,204.4,3686,34472,10,25,0.0716
Warehouse on Adler Drive,warehouse,"Dallas County, Texas",Adler Drive,32.76576006472202,-96.88913739,357830.57581834926,232589.87,21607.598922999998,6940361.0,6940.36,19014.7,527.7,1562,30079,10,15,0.0662
Warehouse on Terre Colony Court,warehouse,"Dallas County, Texas",Terre Colony Court,32.771315017733734,-96.86678354,25885.98996333419,16825.89,1563.1251809999999,502076.0,502.08,1375.6,38.2,3884,35285,10,21,0.061
Warehouse on Postal Way,warehouse,"Dallas County, Texas",Postal Way,32.770490996372466,-96.86370177,27007.37790082865,17554.8,1630.8409199999999,523826.0,523.83,1435.1,39.8,4504,36439,10,25,0.0704
Warehouse on La Reunion Parkway,warehouse,"Dallas County, Texas",La Reunion Parkway,32.76975573353327,-96.89268467,67922.94692933647,44149.92,4101.5275679999995,1317411.0,1317.41,3609.3,100.2,1587,26628,2,14,0.0318
Warehouse on La Reunion Parkway,warehouse,"Dallas County, Texas",La Reunion Parkway,32.77029896631628,-96.89012718,117012.08614444992,76057.86,7065.775194,2269527.0,2269.53,6217.9,172.6,1565,27532,9,15,0.0374
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.77359380699592,-96.87043346,130706.569719089,84959.27,7892.7161830000005,2535140.0,2535.14,6945.6,192.8,3022,32788,10,22,0.0607
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.772069649881566,-96.86132375,30319.31720846517,19707.56,1830.832324,588063.0,588.06,1611.1,44.7,4619,35734,10,28,0.0725
FedEx Ground,warehouse,"Dallas County, Texas",Adler Drive,32.765822192703794,-96.88664578,361304.3072030789,234847.8,21817.36062,7007736.0,7007.74,19199.3,532.8,1725,31395,10,15,0.069
Warehouse on North Westmoreland Road,warehouse,"Dallas County, Texas",North Westmoreland Road,32.77393164855947,-96.87295635,257493.85451136227,167371.01,15548.766829,4994264.0,4994.26,13682.9,379.7,2637,31893,10,20,0.0702
Warehouse on Terre Colony Court,warehouse,"Dallas County, Texas",Terre Colony Court,32.772102210948304,-96.86879931,111092.91137549446,72210.39,6708.345230999999,2154720.0,2154.72,5903.3,163.8,3426,34246,10,23,0.0644
Warehouse on Lone Star Drive,warehouse,"Dallas County, Texas",Lone Star Drive,32.77075587238944,-96.87128824,113227.9002968532,73598.14,6837.2672059999995,2196130.0,2196.13,6016.8,167.0,3158,34641,10,16,0.0606
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.77395231479264,-96.87194013,261932.9607794648,170256.42,15816.821418000001,5080363.0,5080.36,13918.8,386.3,2773,32150,10,21,0.0727
Kroger,retail,"Dallas County, Texas",North Belt Line Road,32.855107331559736,-96.99087583,69521.73379662645,45189.13,4198.070177,1348420.0,1348.42,3694.3,102.5,10999,43530,0,25,0.1723
Commercial on Riverside Drive,commercial,"Dallas County, Texas",Riverside Drive,32.88966524582422,-96.934706,29831.21543802097,19390.29,1801.357941,578596.0,578.6,1585.2,44.0,4474,32747,2,39,0.0703
Warehouse on Riverside Drive,warehouse,"Dallas County, Texas",Riverside Drive,32.89125621419675,-96.93404574,54477.90427859269,35410.64,3289.648456,1056635.0,1056.64,2894.9,80.3,4280,33075,1,40,0.0703
Commercial on West Camp Wisdom Road,commercial,"Dallas County, Texas",West Camp Wisdom Road,32.663497449664554,-96.87327358,50883.09151982111,33074.01,3072.575529,986911.0,986.91,2703.9,75.0,4819,34772,0,9,0.0779
Commercial on Marvin D Love Freeway,commercial,"Dallas County, Texas",Marvin D Love Freeway,32.663616825949404,-96.87101324,127655.0475689394,82975.78,7708.449962,2475954.0,2475.95,6783.4,188.3,4516,34859,0,9,0.0826
Commercial on West Camp Wisdom Road,commercial,"Dallas County, Texas",West Camp Wisdom Road,32.66270707557787,-96.8708829,21580.7467373518,14027.49,1303.1538209999999,418573.0,418.57,1146.8,31.8,4613,34657,0,9,0.0713
Planet Fitness,commercial,"Dallas County, Texas",West Camp Wisdom Road,32.66139937805241,-96.87286535,41311.36588963887,26852.39,2494.587031,801261.0,801.26,2195.2,60.9,5044,34419,0,9,0.0801
Commercial on Uptown Boulevard,commercial,"Dallas County, Texas",Uptown Boulevard,32.59545216628971,-96.94470105,36090.55532,23458.86,2179.328094,700000.0,700.0,1917.8,53.2,2046,18518,3,3,0.0348
Commercial on North Highway 67,commercial,"Dallas County, Texas",North Highway 67,32.594567310879924,-96.94431175,43237.89778982964,28104.63,2610.920127,838628.0,838.63,2297.6,63.8,2109,18435,3,3,0.0366
Retail on West Wheatland Road,retail,"Dallas County, Texas",West Wheatland Road,32.648934967733275,-96.88534217,47342.63556191954,30772.71,2858.7847589999997,918242.0,918.24,2515.7,69.8,5992,30388,3,9,0.095
Warehouse on South Cockrell Hill Road,warehouse,"Dallas County, Texas",South Cockrell Hill Road,32.64880044812489,-96.89074195,23725.677243420207,15421.69,1432.675001,460175.0,460.18,1260.8,35.0,5597,29445,3,9,0.0863
Retail on West Pioneer Parkway,retail,"Dallas County, Texas",West Pioneer Parkway,32.70871035014073,-97.0111004,50487.80689869194,32817.07,3048.705803,979244.0,979.24,2682.9,74.5,5893,34407,2,21,0.0939
Retail on South Cedar Ridge Drive,retail,"Dallas County, Texas",South Cedar Ridge Drive,32.64810031,-96.92667223,33218.323732310375,21591.91,2005.8884389999998,644291.0,644.29,1765.2,49.0,3670,27458,0,4,0.0587
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.87025803641637,-96.76943031,32262.73667619457,20970.78,1948.185462,625757.0,625.76,1714.4,47.6,12894,68055,4,13,0.1961
Industrial on Valley View Lane,industrial,"Dallas County, Texas",Valley View Lane,32.83077207474026,-97.02826933,420996.7836456293,273647.91,25421.890838999996,8165511.0,8165.51,22371.3,620.9,2943,37179,4,22,0.0943
Retail on West Northgate Drive,retail,"Dallas County, Texas",West Northgate Drive,32.85777332532655,-96.99281522,20546.67028252274,13355.34,1240.711086,398516.0,398.52,1091.8,30.3,11068,41997,1,27,0.1674
Retail on North Belt Line Road,retail,"Dallas County, Texas",North Belt Line Road,32.85635944,-96.992917,25509.816230703203,16581.38,1540.410202,494780.0,494.78,1355.6,37.6,11143,42283,0,23,0.1691
Industrial on Peters Street,industrial,"Dallas County, Texas",Peters Street,32.77182150501037,-96.79503963,24417.869189881727,15871.61,1474.472569,473601.0,473.6,1297.5,36.0,8628,76208,37,119,0.1315
Commercial on South Austin Street,commercial,"Dallas County, Texas",South Austin Street,32.76935885,-96.7988609,33823.52166293274,21985.29,2042.433441,656030.0,656.03,1797.3,49.9,7568,72392,31,118,0.1169
Commercial on Botham Jean Boulevard,commercial,"Dallas County, Texas",Botham Jean Boulevard,32.76869196163883,-96.79786315,105016.47875389372,68260.71,6341.419959000001,2036864.0,2036.86,5580.4,154.9,7196,71410,30,118,0.1198
Commercial on Gould Street,commercial,"Dallas County, Texas",Gould Street,32.76949555215177,-96.79127637,53238.994063208105,34605.35,3214.8370149999996,1032606.0,1032.61,2829.1,78.5,7103,72247,26,117,0.1123
Warehouse on South Harwood Street,warehouse,"Dallas County, Texas",South Harwood Street,32.77292988038857,-96.78501909,23029.82156697841,14969.38,1390.6554019999999,446679.0,446.68,1223.8,34.0,7184,75631,13,117,0.1098
Warehouse on South Harwood Street,warehouse,"Dallas County, Texas",South Harwood Street,32.77389725517752,-96.78553419,20747.43579657692,13485.83,1252.833607,402410.0,402.41,1102.5,30.6,7666,77257,14,119,0.1168
Warehouse on South César Chávez Boulevard,warehouse,"Dallas County, Texas",South César Chávez Boulevard,32.77324492828101,-96.78227398,25763.957966461086,16746.57,1555.756353,499709.0,499.71,1369.1,38.0,6522,74992,11,116,0.1003
Warehouse on South Good-Latimer Expressway,warehouse,"Dallas County, Texas",South Good-Latimer Expressway,32.77631590902309,-96.78296506,78882.94919434324,51273.92,4763.347167999999,1529987.0,1529.99,4191.7,116.3,7764,79824,13,120,0.1252
Warehouse on Ferris Street,warehouse,"Dallas County, Texas",Ferris Street,32.77449475934932,-96.77960927,42095.76864250854,27362.25,2541.953025,816475.0,816.48,2236.9,62.1,6135,75706,10,115,0.0965
Commercial on Pacific Avenue,commercial,"Dallas County, Texas",Pacific Avenue,32.78236827470726,-96.79679443,25544.43494544801,16603.88,1542.500452,495451.0,495.45,1357.4,37.7,15832,88664,77,125,0.239
One Arts Plaza,commercial,"Dallas County, Texas",Routh Street,32.791923508051994,-96.79514762,103922.32322395996,67549.51,6275.3494789999995,2015642.0,2015.64,5522.3,153.3,23881,95511,59,126,0.3684
Commercial on Nowitzki Way,commercial,"Dallas County, Texas",Nowitzki Way,32.789949917863126,-96.80858707,41065.97856760542,26692.89,2479.769481,796502.0,796.5,2182.2,60.6,17964,92504,82,132,0.2727
Office on North Harwood Street,office,"Dallas County, Texas",North Harwood Street,32.79162981312452,-96.80617068,33787.824688356806,21962.09,2040.278161,655337.0,655.34,1795.4,49.8,20440,93873,79,129,0.3087
2525 McKinnon,commercial,"Dallas County, Texas",McKinnon Street,32.79209226521689,-96.80564427,30527.577092713906,19842.93,1843.408197,592103.0,592.1,1622.2,45.0,20961,94184,79,129,0.3161
The Factory in Deep Ellum,commercial,"Dallas County, Texas",Canton Street,32.78238638202588,-96.78374691,28605.902416597142,18593.84,1727.367736,554831.0,554.83,1520.1,42.2,10726,87900,27,119,0.1633
Carrier Crossing,retail,"Dallas County, Texas",West Pioneer Parkway,32.70854484,-97.01711812,39441.74613987951,25637.13,2381.689377,764999.0,765.0,2095.9,58.2,5122,37678,2,23,0.0811
Retail on West Pioneer Parkway,retail,"Dallas County, Texas",West Pioneer Parkway,32.708931759599295,-97.01314352,26967.74381938572,17529.03,1628.4468869999998,523057.0,523.06,1433.0,39.8,5633,35437,2,21,0.0872
Commercial on West Pioneer Parkway,commercial,"Dallas County, Texas",West Pioneer Parkway,32.71029687633002,-97.02131679,54755.07170141042,35590.8,3306.3853200000003,1062011.0,1062.01,2909.6,80.7,4385,39657,2,21,0.0719
Commercial on Fort Worth Street,commercial,"Dallas County, Texas",Fort Worth Street,32.742882326610854,-97.01780474,23115.88945240185,15025.33,1395.853157,448348.0,448.35,1228.4,34.1,4470,29581,5,14,0.0694
Commercial on Family Circle,commercial,"Dallas County, Texas",Family Circle,32.71944389266191,-97.00532488,69756.55959633923,45341.76,4212.249504,1352975.0,1352.98,3706.8,102.9,5599,31831,0,14,0.0918
Retail on Southwest 3rd Street,retail,"Dallas County, Texas",Southwest 3rd Street,32.714209178699804,-97.00644785,27196.57682367778,17677.77,1642.264833,527495.0,527.5,1445.2,40.1,6099,32403,0,16,0.0942
Harwood No. 2,office,"Dallas County, Texas",North Harwood Street,32.79393683104876,-96.80758923,20218.315516848408,13141.91,1220.883439,392148.0,392.15,1074.4,29.8,20387,94445,62,131,0.3063
Industrial on Sunnybrook Lane,industrial,"Dallas County, Texas",Sunnybrook Lane,32.73862914265856,-96.99740358,40938.120393088255,26609.78,2472.048562,794022.0,794.02,2175.4,60.4,3673,26715,4,11,0.0597
